rank,usage_tier,score,register,jlpt,id,grammar,meaning,url,norm
1,S (ubiquitous),110.0,general,N5,1.0,だ,"To be, Is",https://bunpro.jp/grammar_points/%E3%81%A0,だ
2,S (ubiquitous),110.0,general,N5,3.0,は,As for... (Highlights sentence topic),https://bunpro.jp/grammar_points/%E3%81%AF,は
3,S (ubiquitous),110.0,general,N5,4.0,も,"Also, Too, As well, Even, Either, Neither",https://bunpro.jp/grammar_points/%E3%82%82,も
4,S (ubiquitous),110.0,general,N5,12.0,か,Question marking particle,https://bunpro.jp/grammar_points/%E3%81%8B,か
5,S (ubiquitous),110.0,general,N5,13.0,が,"Subject marking particle, Identification particle",https://bunpro.jp/grammar_points/%E3%81%8C,が
6,S (ubiquitous),110.0,general,N5,14.0,よ,Emphasis (Sentence ending particle),https://bunpro.jp/grammar_points/%E3%82%88,よ
7,S (ubiquitous),110.0,general,N5,15.0,ね,"Isn't it?, Right? (Sentence ending particle) ",https://bunpro.jp/grammar_points/%E3%81%AD,ね
8,S (ubiquitous),110.0,general,N5,18.0,を,Object marking particle,https://bunpro.jp/grammar_points/%E3%82%92,を
9,S (ubiquitous),110.0,general,N5,21.0,と,And,https://bunpro.jp/grammar_points/%E3%81%A8-and,と
10,S (ubiquitous),110.0,general,N5,25.0,で,"At, In",https://bunpro.jp/grammar_points/%E3%81%A7,で
11,S (ubiquitous),110.0,general,N5,26.0,に,"In, At, To, For, On",https://bunpro.jp/grammar_points/%E3%81%AB,に
12,S (ubiquitous),110.0,general,N5,27.0,か,Or,https://bunpro.jp/grammar_points/%E3%81%8B-or,か
13,S (ubiquitous),110.0,general,N5,28.0,と,With,https://bunpro.jp/grammar_points/%E3%81%A8-with,と
14,S (ubiquitous),110.0,general,N5,51.0,で,"With, By (using)",https://bunpro.jp/grammar_points/%E3%81%A7-by,で
15,S (ubiquitous),110.0,general,N5,56.0,が,"But, However",https://bunpro.jp/grammar_points/%E3%81%8C-but,が
16,S (ubiquitous),110.0,general,N5,61.0,へ,"To, Toward",https://bunpro.jp/grammar_points/%E3%81%B8,へ
17,S (ubiquitous),110.0,general,N5,70.0,と,Quotation,https://bunpro.jp/grammar_points/%E3%81%A8,と
18,S (ubiquitous),110.0,general,N5,114.0,や,"Things like, And the like",https://bunpro.jp/grammar_points/%E3%82%84,や
19,S (ubiquitous),110.0,general,N5,2.0,です,"To be, Is",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%99,です
20,S (ubiquitous),110.0,general,N5,5.0,これ,This,https://bunpro.jp/grammar_points/%E3%81%93%E3%82%8C,これ
21,S (ubiquitous),110.0,general,N5,6.0,それ,That,https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C,それ
22,S (ubiquitous),110.0,general,N5,7.0,あれ,That (over there),https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8C,あれ
23,S (ubiquitous),110.0,general,N5,22.0,ここ,"Here, This place",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%93,ここ
24,S (ubiquitous),110.0,general,N5,23.0,そこ,"There, That place",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%93,そこ
25,S (ubiquitous),110.0,general,N5,33.0,この,This,https://bunpro.jp/grammar_points/%E3%81%93%E3%81%AE,この
26,S (ubiquitous),110.0,general,N5,34.0,その,That,https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%AE,その
27,S (ubiquitous),110.0,general,N5,35.0,あの,That (over there),https://bunpro.jp/grammar_points/%E3%81%82%E3%81%AE,あの
28,S (ubiquitous),110.0,general,N5,42.0,する,"To do, To make into",https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B,する
29,S (ubiquitous),110.0,general,N5,52.0,ので,"Because, So, Since, The reason being",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A7,ので
30,S (ubiquitous),110.0,general,N5,53.0,から,"Because, Since",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89-because,から
31,S (ubiquitous),110.0,general,N5,54.0,から,From,https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89,から
32,S (ubiquitous),110.0,general,N5,78.0,どこ,Where,https://bunpro.jp/grammar_points/%E3%81%A9%E3%81%93,どこ
33,S (ubiquitous),110.0,general,N5,83.0,もう,"Already, Anymore",https://bunpro.jp/grammar_points/%E3%82%82%E3%81%86,もう
34,S (ubiquitous),110.0,general,N5,84.0,まだ,"Still, Not yet",https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A0,まだ
35,S (ubiquitous),110.0,general,N5,87.0,たい,Want to do,https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%84,たい
36,S (ubiquitous),109.65,general,N5,24.0,あそこ,Over there,https://bunpro.jp/grammar_points/%E3%81%82%E3%81%9D%E3%81%93,あそこ
