rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
1,人,68196111,,,,
2,言,60173333,,,,
3,見,51447023,,,,
4,一,50614149,,,,
5,出,46902264,,,,
6,気,39238790,,,,
7,思,38602572,,,,
8,分,37610224,,,,
9,俺,37079643,,,,
10,手,36983075,,,,
11,何,36772181,,,,
12,大,35958942,,,,
13,事,35891046,,,,
14,私,35085997,,,,
15,女,33237017,,,,
16,上,32944733,,,,
17,前,32770531,,,,
18,間,32590706,,,,
19,中,29245654,,,,
20,子,29126154,,,,
21,魔,28899912,,,,
22,今,27804332,,,,
23,目,27756198,,,,
24,自,26828545,,,,
25,時,26556037,,,,
26,来,25523049,,,,
27,様,25084252,,,,
28,日,24761525,,,,
29,生,24494070,,,,
30,行,23731984,,,,
31,方,23389221,,,,
32,話,23366109,,,,
33,彼,23360978,,,,
34,力,23048081,,,,
35,体,22586708,,,,
36,後,22560707,,,,
37,無,22344923,,,,
38,入,21101152,,,,
39,者,20582664,,,,
40,少,19987122,,,,
41,感,19831678,,,,
42,本,19479878,,,,
43,物,19036876,,,,
44,下,17963254,,,,
45,顔,17479624,,,,
46,動,17288882,,,,
47,合,17081786,,,,
48,当,16640527,,,,
49,部,16619387,,,,
50,聞,16432904,,,,
51,持,16264170,,,,
52,先,16038882,,,,
53,全,15819356,,,,
54,度,15618424,,,,
55,身,15419841,,,,
56,向,15401063,,,,
57,知,15369025,,,,
58,達,15190994,,,,
59,心,14943196,,,,
60,二,14861224,,,,
61,声,14664027,,,,
62,意,14540308,,,,
63,理,14518808,,,,
64,場,14512552,,,,
65,立,14317393,,,,
66,付,14178284,,,,
67,僕,14171366,,,,
68,笑,13332425,,,,
69,男,13305603,,,,
70,取,13267043,,,,
71,通,13072347,,,,
72,込,12900105,,,,
73,回,12766273,,,,
74,戦,12665608,,,,
75,会,12661408,,,,
76,王,12655256,,,,
77,同,12565569,,,,
78,良,12495611,,,,
79,地,12462231,,,,
80,的,12381860,,,,
81,使,12253020,,,,
82,最,12145014,,,,
83,性,12127848,,,,
84,口,12057678,,,,
85,長,12044270,,,,
86,変,11927121,,,,
87,界,11786531,,,,
88,世,11778515,,,,
89,年,11762381,,,,
90,不,11475507,,,,
91,小,11465834,,,,
92,作,11450243,,,,
93,食,11448617,,,,
94,考,11414132,,,,
95,法,11261706,,,,
96,家,11167705,,,,
97,所,11074780,,,,
98,葉,11003815,,,,
99,実,10894982,,,,
100,国,10877010,,,,
101,面,10821487,,,,
102,外,10663542,,,,
103,強,10479332,,,,
104,情,10347246,,,,
105,味,10278726,,,,
106,神,10275980,,,,
107,明,10212578,,,,
108,着,10184244,,,,
109,確,10183826,,,,
110,悪,10174601,,,,
111,違,10135514,,,,
112,屋,10080308,,,,
113,名,9995688,,,,
114,開,9904168,,,,
115,対,9613310,,,,
116,近,9467623,,,,
117,切,9442510,,,,
118,頭,9361516,,,,
119,書,9213752,,,,
120,真,9205033,,,,
121,相,9164997,,,,
122,高,9164312,,,,
123,足,9002680,,,,
124,死,8996073,,,,
125,色,8937587,,,,
126,学,8846329,,,,
127,返,8818801,,,,
128,美,8795213,,,,
129,内,8761814,,,,
130,撃,8620019,,,,
131,引,8282920,,,,
132,結,8281649,,,,
133,発,8276839,,,,
134,用,8275072,,,,
135,直,8246042,,,,
136,仕,8219546,,,,
137,空,8175669,,,,
138,音,8102247,,,,
139,以,8005583,,,,
140,問,7949624,,,,
141,然,7949555,,,,
142,現,7948033,,,,
143,落,7945210,,,,
144,解,7938734,,,,
145,始,7937143,,,,
146,能,7921894,,,,
147,君,7763611,,,,
148,元,7740774,,,,
149,愛,7720810,,,,
150,覚,7649223,,,,
151,数,7642767,,,,
152,好,7612417,,,,
153,振,7572008,,,,
154,続,7558334,,,,
155,白,7387224,,,,
156,突,7310190,,,,
157,教,7288379,,,,
158,待,7283023,,,,
159,受,7270869,,,,
160,終,7261436,,,,
161,初,7242862,,,,
162,飛,7222123,,,,
163,指,7153060,,,,
164,止,7111459,,,,
165,士,7097802,,,,
166,多,7097053,,,,
167,誰,7061193,,,,
168,定,7016729,,,,
169,視,6974236,,,,
170,族,6929401,,,,
171,正,6911947,,,,
172,可,6864667,,,,
173,流,6774284,,,,
174,主,6738342,,,,
175,三,6670022,,,,
176,表,6652613,,,,
177,早,6614810,,,,
178,要,6596889,,,,
179,姿,6549055,,,,
180,光,6529721,,,,
181,剣,6527651,,,,
182,決,6523183,,,,
183,呼,6484548,,,,
184,次,6439917,,,,
185,連,6430085,,,,
186,戻,6390365,,,,
187,起,6381079,,,,
188,歩,6376373,,,,
189,張,6333473,,,,
190,金,6301552,,,,
191,道,6295677,,,,
192,別,6287822,,,,
193,水,6268983,,,,
194,状,6161526,,,,
195,関,6135666,,,,
196,残,6089855,,,,
197,必,6074711,,,,
198,化,6039872,,,,
199,他,6038514,,,,
200,風,6022018,,,,
201,帰,5947216,,,,
202,殺,5944641,,,,
203,信,5930460,,,,
204,応,5919543,,,,
205,離,5859731,,,,
206,置,5853694,,,,
207,楽,5850701,,,,
208,過,5819211,,,,
209,代,5770869,,,,
210,息,5736928,,,,
211,想,5709668,,,,
212,成,5703294,,,,
213,夫,5671870,,,,
214,重,5654121,,,,
215,在,5642547,,,,
216,放,5615339,,,,
217,機,5607199,,,,
218,貴,5583863,,,,
219,十,5582280,,,,
220,配,5544506,,,,
221,程,5544237,,,,
222,倒,5530687,,,,
223,安,5476321,,,,
224,親,5468251,,,,
225,天,5460369,,,,
226,我,5450261,,,,
227,黒,5422132,,,,
228,優,5382665,,,,
229,術,5371473,,,,
230,線,5356033,,,,
231,月,5353265,,,,
232,父,5320223,,,,
233,反,5305123,,,,
234,背,5297998,,,,
235,首,5245594,,,,
236,得,5243883,,,,
237,母,5199434,,,,
238,瞬,5199058,,,,
239,第,5172869,,,,
240,命,5161296,,,,
241,嫌,5025263,,,,
242,勝,5023660,,,,
243,絶,5021182,,,,
244,態,5006358,,,,
245,居,4988065,,,,
246,室,4961610,,,,
247,説,4932439,,,,
248,特,4895349,,,,
249,認,4886379,,,,
250,夜,4846818,,,,
251,抜,4839939,,,,
252,丈,4838569,,,,
253,員,4835081,,,,
254,伝,4827911,,,,
255,精,4800513,,,,
256,番,4789222,,,,
257,校,4782089,,,,
258,抱,4772261,,,,
259,転,4757413,,,,
260,乗,4748170,,,,
261,調,4735536,,,,
262,消,4730287,,,,
263,攻,4709858,,,,
264,緒,4698349,,,,
265,進,4696624,,,,
266,掛,4672463,,,,
267,馬,4636359,,,,
268,答,4627060,,,,
269,存,4623284,,,,
270,由,4616097,,,,
271,石,4603671,,,,
272,座,4585215,,,,
273,新,4579331,,,,
274,頼,4570841,,,,
275,苦,4551280,,,,
276,腕,4536132,,,,
277,浮,4520134,,,,
278,報,4512692,,,,
279,果,4476886,,,,
280,集,4448852,,,,
281,車,4416059,,,,
282,業,4406481,,,,
283,題,4406246,,,,
284,構,4402419,,,,
285,赤,4393900,,,,
286,素,4385343,,,,
287,逃,4383464,,,,
288,髪,4376485,,,,
289,山,4369032,,,,
290,異,4357153,,,,
291,失,4304040,,,,
292,加,4286495,,,,
293,囲,4285379,,,,
294,周,4280906,,,,
295,文,4259743,,,,
296,願,4258540,,,,
297,太,4253358,,,,
298,険,4245881,,,,
