rank,lemma,reading,count,meanings_en,pos_tags,alt_readings_kana,alt_spellings_kanji
1,する,シ,233535711,"to chafe; to color or pattern fabric using a wooden mold; to file; to forfeit; to frost (glass); to lose (e.g. a match); to print; to rub; to squander one's money (e.g. through gambling, Pachinko, etc.); to strike (match)","Godan verb with 'ru' ending, transitive verb",する,刷る 摩る 摺る 擂る 擦る 磨る
2,それ,ソレ,48376756,it; that; that point (in time); that time; then; there; you,pronoun,それ,其 其れ
3,その,ソノ,42599453,garden (esp. man-made); location; orchard; park; place; plantation,"noun (common) (futsuumeishi), noun, used as a suffix",えん その,園 苑
4,言う,イッ,40966083,"to call; to declare; to go (e.g. ""the alarm went ping""); to make a noise; to name; to say; to utter",Godan verb with 'u' ending,いう ゆう,云う 言う 謂う
5,いう,イウ,36175977,"to call; to declare; to go (e.g. ""the alarm went ping""); to make a noise; to name; to say; to utter",Godan verb with 'u' ending,いう ゆう,云う 言う 謂う
6,てる,テル,33527543,"to look slightly upward (of a noh mask; indicating joy, etc.); to shine","Godan verb with 'ru' ending, intransitive verb",てる,照る
7,くる,キ,28498458,"to approach; to arrive; to be caused by; to become; to come (spatially or temporally); to come back; to come from; to come to (i.e. ""when it comes to spinach ...""); to come to be; to continue; to derive from; to do ... and come back","Kuru verb - special class, auxiliary verb, intransitive verb",くる,來る 来る
8,って,ッテ,27965685,as for ...; as for the term ...; do you seriously think that; he said; I already told you; I hear that ...; if ... then; of course; said ...; says that ...; she said; the said ...,particle,って て,
9,この,コノ,27928692,nine,numeric,きゅう く ここ ここの この,九 玖 ９
10,思う,オモッ,26604199,to assess; to be (in a state of mind); to believe; to consider; to desire; to dream; to expect; to feel; to imagine; to judge; to look forward to; to plan (to do),"Godan verb with 'u' ending, transitive verb",おもう,念う 思う 惟う 想う 憶う 懐う
11,さん,サン,24872124,acid; sour taste; sourness; three; tri-,"noun (common) (futsuumeishi), numeric, prefix",さん み,三 参 弎 酸 ３
12,見る,ミ,22186398,to assess; to attend to; to check; to examine; to experience; to find (that) ...; to give ... a try; to have a go at ...; to judge; to keep an eye on; to look; to look after,"Ichidan verb, auxiliary verb, transitive verb",みる,見る 視る 観る
13,だけ,ダケ,21189738,mountain; peak,"noun (common) (futsuumeishi), suffix",たけ だけ,岳 嶽
14,けど,ケド,19628356,although; but; however,"conjunction, particle",けど けども けれど けれども けんど,
15,いい,イイ,18956577,agreeable; all right; beneficial; enough; excellent; fine; good; nice; no problem; OK; pleasant; prepared,adjective (keiyoushi) - yoi/ii class,いい,
16,どう,ドウ,18764354,"abdomen; body; dealer; frame (of a drum, etc.); hull (of a ship); likewise; plastron (in kendo); sound box (of a shamisen, etc.); the said; the same; torso; touching the plastron (kimari-te in kendo)","noun (common) (futsuumeishi), prefix, unclassified",どう,同 胴
17,これ,コレ,18373456,here; I; me; now; this; this one; this person; this point (in time); used to stress the subject of a sentence,"adverb (fukushi), pronoun",これ,之 之れ 惟 是 是れ 此 此れ 維
18,ながら,ナガラ,17251548,"all; although; as; as (e.g. ""as always"", ""as long ago""); both; despite; during; in (e.g. ""in tears""); in spite of; notwithstanding; though; while","particle, prefix",ながら,乍ら
19,しまう,シマッ,16989334,"to bring to a close; to close (a business, etc.); to close down; to do accidentally; to do completely; to do without meaning to; to end; to finish; to happen to do; to keep; to put an end to; to put away","Godan verb with 'u' ending, auxiliary verb, transitive verb",しまう,了う 仕舞う 終う 蔵う
20,そんな,ソンナ,15831572,like that; never!; no way!; such; that kind of; that sort of,"interjection (kandoushi), pre-noun adjectival (rentaishi)",そんな,
21,くれる,クレ,15666447,"to be lost in (e.g. thought); to be overcome with; to be sunk in (e.g. despair); to close; to come to an end; to end (of a day, year, season, etc.); to get dark; to grow dark","Ichidan verb, intransitive verb",くれる,昏れる 暗れる 暮れる 眩れる
22,たい,タイ,15450792,"porgy; sea bream (Sparidae); tai (species of reddish-brown Pacific sea bream, Pagrus major)",noun (common) (futsuumeishi),たい タイ,鯛
23,いく,イク,15079499,how many?; how much?; many; several; some; to be transported (towards); to come; to come and go; to continue; to cum; to die; to do (in a specific way),"Godan verb - Iku/Yuku special class, auxiliary verb, intransitive verb, noun (common) (futsuumeishi), prefix",いく ゆく,幾 往く 行く 逝く
24,自分,ジブン,14336478,herself; himself; I; me; myself; oneself; you; yourself,pronoun,じぶん,自分
25,やる,ヤッ,13373169,to be engaged in; to bestow; to confer; to despatch; to dispatch; to do; to do ... broadly; to do ... completely; to do ... for (someone of equal or lower status); to do ... to (sometimes with negative nuance); to do ... to a great distance; to drink,"Godan verb with 'ru' ending, auxiliary verb, intransitive verb, suffix, transitive verb",やる,行る 遣る
26,来る,キ,13050674,"to approach; to arrive; to be caused by; to become; to come (spatially or temporally); to come back; to come from; to come to (i.e. ""when it comes to spinach ...""); to come to be; to continue; to derive from; to do ... and come back","Kuru verb - special class, auxiliary verb, intransitive verb",くる,來る 来る
27,行く,イク,12996259,to be transported (towards); to come; to come and go; to continue; to cum; to die; to do (in a specific way); to flow; to get high; to go; to have a drug-induced hallucination; to have an orgasm,"Godan verb - Iku/Yuku special class, auxiliary verb, intransitive verb",いく ゆく,往く 行く 逝く
28,なん,ナン,12900066,accident; criticism; danger; defect; difficulty; disaster; fault; hardship; trouble,"noun (common) (futsuumeishi), noun, used as a suffix",なん,難
29,もう,モウ,12484342,(not) anymore; again; already; another; before long; by now; come on; dammit; further; jeez; more; now,"adverb (fukushi), interjection (kandoushi)",もう もー,
30,そして,ソシテ,11552020,and; and finally; and now; and then; thus,conjunction,しかして そして,然して 而して
31,彼女,カノジョ,11396405,girlfriend; her; she,"noun (common) (futsuumeishi), pronoun",かのじょ,彼女
32,たち,タチ,11131702,"Chinese glaive; guandao; large sword; long sword (esp. the tachi, worn on the hip edge down by samurai); straight single-edged Japanese sword (from the mid-Heian period or earlier)",noun (common) (futsuumeishi),たち だいとう,大刀 太刀 横刀
33,聞く,キイ,11099173,"to accept (e.g. an argument); to ask; to comply with; to enquire; to follow (advice, order, etc.); to give consideration to; to grant (a request); to hear; to hear (e.g. a plea); to hear about; to hear of; to learn of","Godan verb with 'ku' ending, transitive verb",きく,聞く 聴く
